id,mon,stay,freq,plan,ad,ad1,ad2,ad3,ad4,ad5,ad6,ad7,ad8,ad8_1,ad8_2,ad8_3,ad8_4,ad8_5,inf01,inf02,inf03,inf04,inf05,inf06,inf07,inf08,inf09,inf10,itm1,itm2,itm3,itm4,itm5,itm6,itm7,itm8,itm9,purp1,purp2,att01,att02,att03,att04,att05,att06,att07,att08,att09,att10,att11,att12,att13,att14,att15,att16,att17,att18,type,s1,s2,s3,s4,s5,s6,s7,s8,btimes,bprice,local1,local2,local3,local4,local5,prepay,pmoney,pdollar,airf,pit1,pit2,pit3,pit4,pit5,money,dollar,money1,p1,money2,p2,money3,p3,money4,p4,money5,p5,money6,p6,m601,m602,m603,m604,m605,m606,m607,m608,m609,m610,utax,taxc,act01,act02,act03,act04,act05,act06,act07,act08,act09,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,sp01,sp02,sp03,sp04,sp05,sp06,sp07,sp08,sp09,sp10,sp11,sp12,sp13,sp14,sp15,spfav,spleas,ts01,ts02,ts03,ts04,ts05,ts06,ts07,ts08,ts09,ts10,ts11,slp1,htype,hstar,hsat,slp2,msat,slp3,slp4,slp5,slp6,slp7,slp8,slp9,again,agwhy,recom,s11,s12,s13,s13a,s14,s15,s16,s17,s21,s22,s23,s31,s32,s33,s34,s35,sall,country,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,g13,g14,g15,g16,g17,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,nation,resid,prov,age,income,educ,occup,gender,area
10011,1,7,1,30,1,0,0,3,0,0,5,0,0,.,.,.,.,.,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,5,5,5,5,5,5,5,8,3,.,.,.,.,.,1,4680,2,1,1,1,1,1,1,3000,16,0,.,500,1,0,.,0,.,0,.,2500,1,0,0,0,0,2500,0,0,0,0,0,2,.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,803,185,1,2,3,18,12,65,67,235,187,271,315,350,370,185,.,0,0,0,0,5,0,0,0,5,0,0,1,4,5,5,0,.,0,0,0,0,0,0,0,1,1,1,5,5,4,0,4,4,4,4,5,5,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,2,11,6,8,1,12,1,1
10012,1,8,1,60,2,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,18000,16,2,1,0,0,0,0,42000,16,0,.,27000,4,5000,4,0,.,0,.,10000,4,10000,0,0,0,0,0,0,0,0,0,2,.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,801,1,2,4,7,14,28,.,.,.,.,.,.,.,.,1,.,0,0,5,0,0,0,0,5,0,0,0,1,5,0,4,0,.,0,0,0,0,0,0,0,1,1,1,4,5,5,0,0,5,5,5,5,2,4,4,4,4,5,5,4,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7,7,.,3,8,3,10,2,1
10013,1,3,1,30,1,0,0,3,0,0,3,4,0,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,7,99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2500,3,1,1,1,1,1,1,2000,3,0,.,1000,1,75,1,0,.,0,.,925,1,0,0,0,0,925,0,0,0,0,0,2,.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,808,5,7,.,.,.,.,.,.,.,.,.,.,.,.,5,.,0,0,4,0,0,4,0,3,0,0,0,0,.,.,.,0,.,1,0,0,0,0,0,0,1,1,1,4,4,4,0,4,4,5,5,3,5,5,4,4,4,4,4,4,4,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,.,1,8,2,11,1,1
10014,1,14,1,60,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,46300,16,35000,1,6000,1,1000,1,200,1,0,.,4100,1,0,0,100,4000,0,0,0,0,0,0,2,.,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,801,3,18,12,66,10,.,.,.,.,.,.,.,.,.,801,.,0,0,4,0,0,0,4,0,0,0,0,1,3,0,5,0,.,0,0,0,0,0,0,0,1,2,1,4,4,2,0,4,4,4,4,3,4,5,5,5,4,5,4,4,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,6,2,3,2,1,1
10015,1,9,1,30,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,99,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,3750,2,2,1,0,0,0,0,30000,16,0,.,15000,2,3000,2,3000,2,0,.,9000,2,2000,0,0,3500,0,2000,1500,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,801,315,1,2,3,12,66,235,286,328,7,804,808,865,.,315,.,5,4,5,0,0,0,5,5,0,5,0,1,4,4,1,0,.,0,0,0,0,0,0,0,1,1,1,5,5,5,0,4,5,5,5,5,5,5,5,4,5,4,4,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4,3,1,2,2,2,1
10016,1,7,1,30,1,0,0,0,0,0,0,4,0,.,.,.,.,.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,3,5,5,5,5,6,4,.,.,.,.,.,1,5500,2,1,1,1,1,1,1,50000,2,0,.,200,2,0,.,0,.,0,.,49800,2,0,24900,0,0,9960,9960,0,0,4980,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,865,235,1,2,18,12,24,67,185,189,272,271,315,350,370,235,.,0,5,0,0,5,0,0,0,5,0,0,1,3,0,3,0,.,0,0,0,0,0,0,0,1,1,1,4,5,4,4,0,5,5,5,5,5,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,26,5,8,1,12,1,1
10017,1,6,1,30,1,2,0,0,0,0,2,0,4,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,0,0,1,0,0,1,2500,2,1,1,0,1,0,0,4500,2,0,.,675,1,450,1,225,1,0,.,3150,1,1890,0,0,1260,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,801,352,1,2,3,19,65,315,328,350,.,.,.,.,.,352,.,4,3,5,0,0,0,4,5,0,0,0,1,3,0,4,0,.,0,0,0,0,0,0,0,1,1,1,4,5,3,3,4,3,5,5,4,5,5,5,4,4,5,4,4,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,8,2,11,2,1
10018,1,5,1,60,2,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,2500,3,1,1,0,0,0,0,2000,3,0,.,600,1,200,1,100,1,0,.,1100,1,330,0,0,0,770,0,0,0,0,0,2,.,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,801,5,8,10,13,.,.,.,.,.,.,.,.,.,.,5,.,0,0,5,0,0,0,3,3,0,0,0,1,3,2,3,0,.,0,0,0,0,0,0,0,1,1,1,2,4,4,3,3,3,3,3,5,5,4,4,3,3,4,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,.,2,8,2,11,2,1
10019,1,3,1,30,1,0,0,5,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,99,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,60000,1,30000,2,18000,2,6000,2,0,.,0,.,6000,2,0,0,0,0,6000,0,0,0,0,0,2,.,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,801,3,1,2,8,13,18,12,5,52,65,803,808,.,.,3,.,0,4,4,0,0,0,5,0,0,0,0,1,3,0,5,0,.,0,0,0,0,0,0,0,1,1,1,0,4,4,4,5,5,4,5,3,5,5,5,5,5,5,5,5,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,.,4,6,2,4,1,1
10020,1,3,1,30,2,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,99,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,5,5,5,3,5,5,5,5,4,3,.,.,.,.,.,1,50000,1,1,1,1,1,1,1,15000,1,0,.,1500,1,7500,1,0,.,0,.,6000,1,4800,0,0,0,600,0,0,0,600,0,2,.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,801,2,65,185,.,.,.,.,.,.,.,.,.,.,.,2,.,5,0,5,0,5,0,0,0,0,0,0,1,3,0,4,0,.,0,0,0,0,0,0,0,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,.,3,5,2,4,2,1
