id,name
385,澎湖國家風景區
386,吉貝嶼
387,七美嶼
390,慈湖(金門)
391,金門國家公園(含遊客中心)
392,翟山
393,古寧頭戰史館
394,民俗村
395,莒光樓
396,太武山
397,金門酒廠
398,浯江溪口
399,中山紀念林
405,芹壁聚落
406,璧山觀景
801,士林夜市
802,華西街夜市
803,饒河街夜市
804,師大夜市
805,臨江街夜市
806,公館夜市
807,迪化街夜市
808,寧夏夜市
809,南機場夜市
810,景美夜市
811,遼寧街夜市
812,延三夜市
813,臺北市內其他夜市
815,樂華夜市
816,板橋南雅夜市
817,新莊夜市
818,中和興南夜市
819,輔大花園夜市
820,新北市內其他夜市
825,基隆廟口夜市
826,基隆市內其他夜市
830,中壢新民夜市
831,桃園觀光夜市
832,桃園縣內其他夜市
834,新竹城隍廟夜市
835,新竹市內其他夜市
838,新竹縣內之夜市
840,苗栗縣內之夜市
843,臺中逢甲夜市
844,臺中中華路夜市
845,臺中一中街夜市
846,臺中市內其他夜市
849,南投縣內之夜市
851,彰化縣內之夜市
853,雲林縣內之夜市
855,嘉義文化路夜市
856,嘉義市內其他夜市
858,嘉義縣內之夜市
860,臺南小北夜市
861,臺南花園夜市
862,臺南大東夜市
863,臺南市內其他夜市
865,高雄六合夜市
866,高雄新興夜市
867,高雄瑞豐夜市
868,高雄金鑽夜市
869,高雄凱旋夜市
870,高雄市內其他夜市
871,屏東民族路夜市
872,屏東縣內其他夜市
874,宜蘭羅東夜市
875,宜蘭縣內其他夜市
877,花蓮南濱夜市
878,花蓮自強夜市
879,花蓮花園夜市
880,臺東縣內之夜市
883,澎湖縣內之夜市
885,金門縣內之夜市
,
