id,mon,stay,freq,plan,ad,ad1,ad2,ad3,ad4,ad5,ad6,ad7,ad8,ad8_1,ad8_2,ad8_3,ad8_4,ad8_5,inf01,inf02,inf03,inf04,inf05,inf06,inf07,inf08,inf09,inf10,item1,item2,item3,item4,item5,item6,item7,item8,item9,purp1,purp2,att01,att02,att03,att04,att05,att06,att07,att08,att09,att10,att11,att12,att13,att14,att15,att16,att17,att18,type,s1,s2,s3,s4,s5,s6,s7,s8,btimes,bprice,local1,local2,local3,local4,local5,prepay,pmoney,pdollar,airf,pit1,pit2,pit3,pit4,pit5,money,dollar,money1,p1,money2,p2,money3,p3,money4,p4,money5,p5,money6,p6,m601,m602,m603,m604,m605,m606,m607,m608,m609,m610,utax,taxc,act01,act02,act03,act04,act05,act06,act07,act08,act09,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,sp01,sp02,sp03,sp04,sp05,sp06,sp07,sp08,sp09,sp10,sp11,sp12,sp13,sp14,sp15,spfav,spleas,ts01,ts02,ts03,ts04,ts05,ts06,ts07,ts08,ts09,ts10,slp1,hcity,htype,hsat,slp2,msat,slp3,ysat,slp4,slp5,slp6,slp7,slp8,again,agwhy,recom,s11,s12,s13,s13a,s14,s15,s16,s17,s21,s22,s23,s31,s32,s33,s34,s35,ssall,country,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,g13,g14,g15,g16,g17,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,nation,resid,prov,age,income,educ,occup,gender,area
10011,1,6,2,180,1,0,0,0,0,0,5,0,0,.,.,.,.,.,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,0,0,1,0,0,2,.,.,.,.,.,.,.,.,30000,16,7400,3,5000,3,3500,3,0,.,1000,3,13100,3,0,0,0,6550,6550,0,0,0,0,0,2,.,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,843,197,187,65,87,825,.,.,.,.,.,.,.,.,.,197,.,5,5,5,0,0,0,5,0,0,5,1,1,3,4,0,.,0,.,0,0,0,0,0,1,4,1,0,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,6,6,.,2,1,3,2,2,1
10012,1,15,1,3,1,0,0,0,0,0,0,5,0,.,.,.,.,.,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,99,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,0,0,1,0,0,2,.,.,.,.,.,.,.,.,15650,16,6000,1,2000,1,5000,1,2000,1,500,1,150,1,150,0,0,0,0,0,0,0,0,0,2,.,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,315,1,8,3,18,19,245,240,350,371,246,10,.,.,.,315,.,5,5,5,0,0,0,5,5,0,0,1,1,3,5,0,.,0,.,0,0,0,0,0,2,.,2,0,5,4,4,4,4,4,3,4,4,5,5,5,5,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,11,.,2,3,3,1,1,1
10013,1,4,4,30,1,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,3750,16,2,1,0,0,0,0,69000,16,0,.,20000,2,10000,2,0,.,3000,2,36000,2,20000,0,0,5000,10000,0,0,0,1000,0,2,.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,802,5,66,801,803,808,.,.,.,.,.,.,.,.,.,802,.,0,0,4,0,0,0,0,4,0,0,1,1,3,4,0,.,0,.,0,0,0,0,0,1,1,1,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,.,2,1,2,10,2,1
10014,1,4,1,20,1,0,0,0,4,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,50,8,2,0,0,1,0,0,500,8,375,2,75,2,50,2,0,.,0,.,0,.,0,0,0,0,0,0,0,0,0,0,2,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0,0,0,0,0,0,5,0,0,1,6,3,5,0,.,0,.,0,0,0,0,0,1,2,1,4,4,5,3,4,5,5,3,4,4,5,0,3,5,4,4,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,.,5,3,3,1,1,1
10015,1,4,2,30,1,0,0,0,0,0,5,5,5,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,99,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2840,16,2,1,0,0,0,0,20000,16,3000,1,2000,1,600,1,500,1,300,1,13600,1,5440,0,0,0,5440,0,0,0,2720,0,2,.,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,801,2,76,9,3,18,12,24,66,128,.,.,.,.,.,2,76,0,0,4,0,0,0,0,0,0,0,1,1,3,3,0,.,0,.,0,0,0,0,0,1,4,1,0,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,2,.,3,3,3,2,2,1
10016,1,11,1,30,1,0,0,5,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,99,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,18000,16,2,1,0,0,0,0,35500,16,0,.,6000,1,4000,1,20000,1,2000,1,3500,1,0,0,0,0,3500,0,0,0,0,0,2,.,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,803,1,8,24,66,72,802,801,10,804,845,865,.,.,.,1,.,5,5,5,0,0,0,0,5,0,0,1,3,2,3,0,.,0,.,0,0,0,0,0,1,1,1,0,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8,1,.,2,3,2,13,1,1
10017,1,4,2,70,1,0,0,1,1,0,0,4,4,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,99,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2000,16,2,1,0,0,0,0,17500,16,3500,1,2000,1,3000,1,0,.,0,.,9000,1,4000,0,0,0,5000,0,0,0,0,0,2,.,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,804,65,270,272,275,16,91,.,.,.,.,.,.,.,.,804,65,5,5,5,0,0,0,4,5,0,0,1,12,3,4,0,.,0,.,0,0,0,0,0,1,1,1,0,5,5,5,3,5,5,3,3,2,4,4,3,4,4,4,4,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,.,2,5,3,2,2,1
10018,1,7,1,60,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,20000,2,1,1,1,1,1,1,20000,16,0,.,1500,1,500,1,0,.,0,.,18000,1,4500,0,0,0,10800,0,0,0,2700,0,2,.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,803,1,2,12,185,801,808,.,.,.,.,.,.,.,.,1,.,0,0,0,0,5,0,0,5,5,0,1,1,1,4,0,.,0,.,0,0,0,0,0,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,1,3,6,3,2,1,1
10019,1,6,2,10,2,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,2,.,.,.,.,.,.,.,.,30000,16,27000,1,1500,1,0,.,0,.,0,.,1500,1,0,0,1500,0,0,0,0,0,0,0,2,.,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,831,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,5,0,0,1,6,2,5,0,.,0,.,0,0,0,0,0,1,2,1,0,5,4,0,5,3,3,3,3,4,5,5,5,5,4,5,5,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,.,2,6,2,3,1,1
10020,1,2,6,7,1,4,4,4,2,2,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1200,3,2,1,0,0,0,0,2000,3,0,.,800,1,1000,1,200,1,0,.,0,.,0,0,0,0,0,0,0,0,0,0,2,.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,0,0,5,0,0,0,0,4,0,0,1,1,3,4,0,.,0,.,0,0,0,0,0,1,4,1,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,.,3,8,2,13,1,1
